#;DATETIME;iDay;OPEN;HIGH;LOW;CLOSE;5-Costf L;6-200DMA
17886;1313614800;750;1.44436;1.44546;1.44398;1.44512;0.01129318;1.394931
17885;1313618400;750;1.44514;1.44552;1.44335;1.44343;0.0040667;1.394931
17884;1313622000;750;1.44344;1.44419;1.44244;1.44251;0.00226688;1.394931
17883;1313625600;749;1.44254;1.44387;1.44223;1.44253;0.00275211;1.3952526
17882;1313629200;749;1.44249;1.44301;1.44224;1.44274;0.0028834;1.3952526
17881;1313632800;749;1.44274;1.44347;1.44224;1.44271;0.00307061;1.3952526
17880;1313636400;749;1.44272;1.4429;1.4403;1.44128;0.00359403;1.3952526
17879;1313640000;749;1.44128;1.44155;1.43945;1.44023;0.00378412;1.3952526
17878;1313643600;749;1.44023;1.44049;1.43891;1.43951;0.00525873;1.3952526
17877;1313647200;749;1.43951;1.44087;1.43938;1.44061;0.00896148;1.3952526
17876;1313650800;749;1.44063;1.44063;1.43822;1.43898;0.00386385;1.3952526
17875;1313654400;749;1.43896;1.44214;1.43851;1.44101;0.00770293;1.3952526
17874;1313658000;749;1.44104;1.44174;1.43869;1.43988;0.00450038;1.3952526
17873;1313661600;749;1.43988;1.44186;1.43804;1.44066;0.00746186;1.3952526
17872;1313665200;749;1.44065;1.44518;1.43973;1.44192;0.01188693;1.3952526
17871;1313668800;749;1.44193;1.44193;1.43752;1.4401;0.00905493;1.3952526
17870;1313672400;749;1.44015;1.44172;1.43511;1.43723;-0.00101584;1.3952526
17869;1313676000;749;1.43723;1.43797;1.43551;1.43693;0.00122483;1.3952526
17868;1313679600;749;1.43692;1.4388;1.43551;1.43695;-0.00069592;1.3952526
17867;1313683200;749;1.43696;1.4374;1.4316;1.43422;-0.00670051;1.3952526
17866;1313686800;749;1.43422;1.4346;1.42707;1.43157;-0.01289493;1.3952526
17865;1313690400;749;1.43154;1.43341;1.43061;1.43191;-0.01620214;1.3952526
17864;1313694000;749;1.43191;1.43239;1.43;1.43201;-0.01589374;1.3952526
17863;1313697600;749;1.43201;1.43213;1.42963;1.43033;-0.02229555;1.3952526
17862;1313701200;749;1.43033;1.43404;1.43015;1.43227;-0.01972393;1.3952526
17861;1313704800;749;1.43229;1.43374;1.43132;1.43362;-0.02084234;1.3952526
17860;1313708400;749;1.4336;1.43461;1.43306;1.43323;-0.02141317;1.3952526
17859;1313712000;748;1.4332;1.4332;1.43187;1.43222;-0.02364162;1.3955857
17858;1313715600;748;1.43232;1.43294;1.43177;1.43198;-0.02238858;1.3955857
17857;1313719200;748;1.43197;1.43209;1.42922;1.42959;-0.03019747;1.3955857
17856;1313722800;748;1.42959;1.43267;1.42935;1.43097;-0.02461966;1.3955857
17855;1313726400;748;1.43097;1.43309;1.4307;1.43145;-0.01798875;1.3955857
17854;1313730000;748;1.4315;1.43371;1.43134;1.43271;-0.01483901;1.3955857
17853;1313733600;748;1.43271;1.43388;1.43129;1.43159;-0.02070425;1.3955857
17852;1313737200;748;1.4316;1.43171;1.42991;1.43089;-0.02163688;1.3955857
17851;1313740800;748;1.43088;1.43126;1.42832;1.42946;-0.02473661;1.3955857
17850;1313744400;748;1.42944;1.43268;1.42828;1.43215;-0.01594805;1.3955857
17849;1313748000;748;1.4322;1.43277;1.42586;1.42808;-0.02576186;1.3955857
17848;1313751600;748;1.42808;1.43187;1.42742;1.43147;-0.01903638;1.3955857
17847;1313755200;748;1.43142;1.43447;1.43111;1.43124;-0.01638439;1.3955857
17846;1313758800;748;1.43123;1.43201;1.42937;1.4318;-0.01490432;1.3955857
17845;1313762400;748;1.43174;1.43807;1.43096;1.43763;-0.00573861;1.3955857
17844;1313766000;748;1.43766;1.44157;1.43766;1.43934;-0.00095183;1.3955857
17843;1313769600;748;1.43936;1.44306;1.43936;1.44266;0.00621075;1.3955857
17842;1313773200;748;1.44259;1.4452;1.44149;1.44155;0.00388471;1.3955857
17841;1313776800;748;1.44156;1.44231;1.4379;1.44068;0.00221423;1.3955857
17840;1313780400;748;1.44064;1.44147;1.43978;1.43998;0.0005139;1.3955857
17839;1313784000;748;1.43997;1.44129;1.43838;1.43862;-0.00207838;1.3955857
17838;1313787600;748;1.43864;1.43962;1.43801;1.4386;-0.00159183;1.3955857
17837;1313791200;748;1.43861;1.44024;1.43816;1.43939;0.00260527;1.3955857
17836;1313794800;748;1.43941;1.44038;1.43831;1.43944;-0.00027789;1.3955857
17835;1313971200;747;1.43787;1.43805;1.43701;1.43742;-0.00609425;1.3959387
17834;1313974800;747;1.43729;1.43837;1.436;1.43674;-0.00579089;1.3959387
17833;1313978400;747;1.43668;1.43744;1.43612;1.43658;-0.00006265;1.3959387
17832;1313982000;747;1.43657;1.43845;1.43637;1.4373;0.00096013;1.3959387
17831;1313985600;747;1.43729;1.43919;1.43674;1.4382;0.00230844;1.3959387
17830;1313989200;747;1.43822;1.43893;1.43649;1.43721;0.00473139;1.3959387
17829;1313992800;747;1.43719;1.4377;1.43617;1.43658;0.00510936;1.3959387
17828;1313996400;747;1.4366;1.43723;1.43622;1.43673;0.00189319;1.3959387
17827;1314000000;747;1.43673;1.43695;1.43565;1.4367;0.00108582;1.3959387
17826;1314003600;747;1.4367;1.43713;1.43466;1.43532;0.00050163;1.3959387
17825;1314007200;747;1.43532;1.44094;1.43523;1.4409;0.01050038;1.3959387
17824;1314010800;747;1.44091;1.44148;1.43934;1.44087;0.01038956;1.3959387
17823;1314014400;747;1.44087;1.44187;1.44014;1.44043;0.01068431;1.3959387
17822;1314018000;747;1.44043;1.4434;1.43997;1.44239;0.01317951;1.3959387
17821;1314021600;747;1.44238;1.44322;1.44158;1.44197;0.00821099;1.3959387
17820;1314025200;747;1.44195;1.44289;1.44048;1.44211;0.00914632;1.3959387
17819;1314028800;747;1.4421;1.44317;1.44105;1.44124;0.00636258;1.3959387
17818;1314032400;747;1.44124;1.44191;1.43768;1.43801;0.00092489;1.3959387
17817;1314036000;747;1.43798;1.43881;1.43656;1.43821;0.00054929;1.3959387
17816;1314039600;747;1.4382;1.43898;1.43763;1.4387;0.0024536;1.3959387
17815;1314043200;747;1.4387;1.4387;1.43663;1.43751;0.00404171;1.3959387
17814;1314046800;747;1.43753;1.43758;1.43624;1.43722;0.00304755;1.3959387
17813;1314050400;747;1.43723;1.43767;1.43613;1.43627;-0.00375278;1.3959387
17812;1314054000;747;1.43627;1.43681;1.43548;1.43575;-0.00452725;1.3959387
17811;1314057600;746;1.43578;1.43612;1.43543;1.4357;-0.00055722;1.39632465
17810;1314061200;746;1.43569;1.43625;1.43542;1.43592;-0.00204747;1.39632465
17809;1314064800;746;1.43595;1.43655;1.43528;1.43567;-0.0030996;1.39632465
17808;1314068400;746;1.43569;1.43706;1.43561;1.43638;-0.0002924;1.39632465
17807;1314072000;746;1.43638;1.43747;1.43626;1.43724;0.00037572;1.39632465
17806;1314075600;746;1.43724;1.43911;1.4371;1.43823;0.00757876;1.39632465
17805;1314079200;746;1.43825;1.43857;1.43687;1.43742;0.00375673;1.39632465
17804;1314082800;746;1.43742;1.43761;1.43659;1.4371;0.0051423;1.39632465
17803;1314086400;746;1.43711;1.43831;1.43638;1.43765;0.00896602;1.39632465
17802;1314090000;746;1.43764;1.44016;1.43688;1.43993;0.01588272;1.39632465
17801;1314093600;746;1.43995;1.44674;1.43842;1.44648;0.0277363;1.39632465
17800;1314097200;746;1.4465;1.4486;1.44603;1.44699;0.02882535;1.39632465
17799;1314100800;746;1.44709;1.44995;1.44377;1.44881;0.03400722;1.39632465
17798;1314104400;746;1.44871;1.44951;1.44646;1.44671;0.02882402;1.39632465
17797;1314108000;746;1.4467;1.44908;1.4461;1.44637;0.0285819;1.39632465
17796;1314111600;746;1.4464;1.44695;1.4438;1.44426;0.01931785;1.39632465
